Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 56, TIDL_ConvolutionLayer, 256, 13, 13, 128, 13, 13, 256, ROW_L, 0, 0, 169, 169, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 256, 49280, 0, 0, ,,,,,,,, MSMC, CPU, 192, 169, 128, 24576, 0, 0, ,,,,,,,, MSMC, DMA, 320, 256, 128, 41728, 0, 58100, ,,,,,,,, 
 59, TIDL_ConcatLayer, 256, 13, 13, 256, 13, 13, 256,  COL, 0, 0, 169, 169, 2, 0, 2,,,,,,,,, L2, DMA, 195, 195, 256, 49920, 0, 0, ,,,,,,,, MSMC, CPU, 320, 195, 256, 81933, 13, 58173, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 60, TIDL_ConvolutionLayer, 256, 13, 13, 256, 13, 13, 256, ROW_L, 0, 0, 169, 169, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 256, 49280, 0, 0, ,,,,,,,, MSMC, CPU, 320, 195, 256, 81933, 13, 58173, ,,,,,,,, MSMC, DMA, 320, 256, 256, 83456, 0, 0, ,,,,,,,, 
 61, TIDL_ConvolutionLayer, 256, 13, 13, 128, 13, 13, 256, ROW_L, 0, 0, 169, 169, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 256, 49280, 0, 0, ,,,,,,,, MSMC, CPU, 320, 195, 128, 40973, 13, 73, ,,,,,,,, MSMC, DMA, 320, 256, 128, 41728, 0, a080, ,,,,,,,, 
 62, TIDL_ResizeLayer, 128, 13, 13, 128, 26, 26, 128,  COL, 0, 0, 195, 195, 1, 0, 1,,,,,,,,, L2, DMA, 325, 325, 128, 41600, 0, 0, ,,,,,,,, MSMC, CPU, 832, 728, 128, 106650, 26, 58166, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 63, TIDL_ConcatLayer, 256, 26, 26, 256, 26, 26, 256,  COL, 0, 0, 676, 676, 2, 0, 2,,,,,,,,, L2, DMA, 832, 832, 256, 212992, 0, 0, ,,,,,,,, MSMC, CPU, 704, 676, 256, 180224, 0, 58100, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 64, TIDL_ConvolutionLayer, 256, 26, 26, 64, 26, 26, 256, ROW_L, 0, 0, 416, 676, 2, 1, 2,,,,,,,,, L2, DMA, 832, 832, 256, 213120, 0, 0, ,,,,,,,, MSMC, CPU, 704, 676, 64, 45056, 0, 42100, ,,,,,,,, MSMC, DMA, 320, 256, 64, 20864, 0, a080, ,,,,,,,, 
 66, TIDL_ConvolutionLayer, 64, 26, 26, 64, 26, 26, 64, ROW_L, 0, 0, 676, 676, 1, 1, 1,,,,,,,,, L2, DMA, 704, 704, 64, 45184, 0, 0, ,,,,,,,, MSMC, CPU, 704, 676, 64, 45056, 0, a080, ,,,,,,,, MSMC, DMA, 64, 64, 64, 4480, 0, 15080, ,,,,,,,, 
 67, TIDL_ConvolutionLayer, 64, 26, 26, 64, 26, 26, 64, ROW_L, 54, 64, 612, 676, 1, 1, 1,,,,,,,,, L2, DMA, 704, 704, 64, 45824, 0, 0, ,,,,,,,, MSMC, CPU, 704, 676, 64, 45056, 0, a080, ,,,,,,,, MSMC, DMA, 576, 576, 64, 37248, 0, 42100, ,,,,,,,, 
 65, TIDL_ConvolutionLayer, 256, 26, 26, 64, 26, 26, 256, ROW_L, 0, 0, 416, 676, 2, 1, 2,,,,,,,,, L2, DMA, 832, 832, 256, 213120, 0, 0, ,,,,,,,, MSMC, CPU, 704, 676, 64, 45056, 0, 47280, ,,,,,,,, MSMC, DMA, 320, 256, 64, 20864, 0, 42100, ,,,,,,,, 
