 lyrNum , LyrType,      Fr,      Fc,     Grp,   strdX,   strdY,multiCoreMode,    Pool,  pooKer, pooStrd,enableBias,      Ni,      No,     InW,     InH,    outW,    outH,procTime(us),LayerCycles,kernelOnlyCycles,coreLoopCycles,LayerSetupCycles,dmaPipeupCycles,   IOcyles,inVol(KB),outVol(KB),wtVol(KB), srcMem-IN, dstMem-IN,srcMem-OUT,dstMem-OUT, srcMem-WT, dstMem-WT,MSMCBW-R(M),MSMCBW-W(M),DDRBW-R(M),DDRBW-W(M),dataFlow,utilization,
     104,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,      64,      64,      26,      26,      26,      26,  110.39,110390.42,93459.30,93509.30, 7100.00, 9781.11,    0.00, 42.25, 42.25, 36.38,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.05,    0.10,    0.00,    0.00,       1,   64.71,
     108,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,      64,       1,      26,      26,      26,      26,   20.12,20120.05,10555.60,10605.60, 7100.00, 2414.44,    0.00, 42.25,  1.38,  0.25,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.05,    0.00,    0.00,    0.00,       1,    0.47,
      99,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,      64,      64,      26,      26,      26,      26,  110.39,110390.42,93459.30,93509.30, 7100.00, 9781.11,    0.00, 42.25, 42.25, 36.38,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.05,    0.10,    0.00,    0.00,       1,   64.71,
     103,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,      64,      64,      26,      26,      26,      26,  110.39,110390.42,93459.30,93509.30, 7100.00, 9781.11,    0.00, 42.25, 42.25, 36.38,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.05,    0.10,    0.00,    0.00,       1,   64.71,
     106,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,      64,       1,      26,      26,      26,      26,   20.12,20120.05,10555.60,10605.60, 7100.00, 2414.44,    0.00, 42.25,  1.38,  0.25,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.05,    0.00,    0.00,    0.00,       1,    0.47,
     107,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,      64,       4,      26,      26,      26,      26,   20.42,20420.05,10555.60,10605.60, 7100.00, 2714.44,    0.00, 42.25,  5.38,  0.62,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.05,    0.01,    0.00,    0.00,       1,    1.86,
     110,TIDL_ConcatLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,       6,       6,      26,      26,      26,      26,   18.52,18521.09, 1672.20, 1722.20,16500.00,  298.89, 1518.89,  8.00,  8.00,  0.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.01,    0.01,    0.00,    0.00,       2,    0.03,
      96,TIDL_ConvolutionLayer,       3,       3,       1,       2,       2,       0,       0,       0,       1,         1,     128,     128,      26,      26,      13,      13,  238.95,238946.72,203384.50,203434.50, 7100.00,28412.22,    0.00, 84.50, 21.12,144.75,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.09,    0.21,    0.00,    0.00,       1,   46.97,
      98,TIDL_ConcatLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,     256,     256,      13,      13,      13,      13,   14.11,14105.53, 1952.20, 2002.20,11000.00, 1103.33, 1188.67, 48.75, 42.25,  0.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.05,    0.04,    0.00,    0.00,       2,    0.23,
     101,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     256,     128,      13,      13,      13,      13,   42.35,42345.17,23138.50,23188.50, 7100.00,12056.67,    0.00, 42.25, 21.12, 32.75,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.05,    0.10,    0.00,    0.00,       1,   31.84,
